Title,Director,Cast,Genre,Notes
Jawan Ki Pukar a.k.a. Call of Youth,Dinshaw Billimoria,"D. Bilimoria, Urmila, Harish, Kalyani, Benjamin, W. M. Khan, Alaknanda, Afghan Sandow, Samson",Action,"Music: Vasant Kumar Naidu
Lyrics: A. K. Sindhi"
Jawani,Wajahat Mirza,"Surendra, Husn Banu, Kayam Ali, Sankatha Prasad, Agha, A. R. Kabuli, Nawab, Dulari, Laddan",Social,"Music: Anil Biswas
Lyrics: Mirza, Hazrat Aarzoo"
Jhankar,S. Khalil,"Chandra Mohan, Pramila, Kumar, Gope, Shahzadi, Altaf, Dulari, Shaukat, Ghulam Mohammed",Social,"Music: Bashir Dehlvi
Lyrics: Arzu Lakhnavi, D. N. Madhok, Hasrat Lakhnavi"
Jungle Princess,Homi Wadia,"Fearless Nadia, John Cawas, Shahzadi, Radharani",Action,"Music: Madholal Damodar Master
Lyrics: Pandit Indra"
Kalakar,A. Karim,"Maya Devi, Jal Merchant, Ranibala, Anant Marathe, Mehar Sultana, Fazlu, Saiyyad Ahmed, Fakir Mohammed",Social,"Music: Bashir Dehlvi
Lyrics: A. Karim"
Kaljug,Nazir,"Nazir, Sitara Devi, Kumar, Gope, Anuradha, Majid, Azurie","Social, Drama","Music: Rafiq Ghaznavi
Lyrics: Hasrat Lakhnavi"
Khamoshi,R. C. Talwar,"Ramola, Amarnath, Gyani, Shyam Sunder (actor), Manorama, Nand Kishore, Sunder, Leela Mishra, Himmat Rai",Social,"Music: G.A. Chishti
Lyrics: Himmat Rai Sharma"
Khandan,Shaukat Hussain Rizvi,"Pran, Noor Jehan, Manorama, Ajmal. Durga Mota, Ghulam Mohammed, G. N. Butt, Ibrahim","Family, Drama","Music: Ghulam Haider
Lyrics: M. D. Taseer, Nazim Panipat and D. N. Madhok"
Khilona a.k.a. Khilauna/The Toy,Sarvottam Badami,"Snehprabha Pradhan, P. Jairaj, Prabha, Satish, Kanhaiyalal, Nagendra, Pratima Devi, Pesi Patel",Social,"Music: Khemchand Prakash
Lyrics: Pandit Indra"
Kirti,Gunjal,"P. Jairaj, Lalita Pawar, Sunalini Devi, Jagdish Sethi, Sushil Kumar, Ghulam Rasool, Devaskar, Manchi Thuthi, Mithu Miya",Social,"Music: Harishchandra Bali
Lyrics: Pandit Phani"
